utc_iso,utc_unix,synced,freq_hz,rocof_hz_s,vmag_phasor_rms,vmag_rms,phase_deg,tve_percent,mag_error_pct,phase_error_deg,crest_factor,gps_fix,overflow_blocks,dropped_frames
1970-01-01T00:07:35.294400+00:00,455.294399990,0,59.609441,-0.002791,118.586622,118.641608,-45.001309,76.095836,-1.177815,-45.001309,1.3749,0,487539,5971
1970-01-01T00:07:35.396160+00:00,455.396159970,0,59.606743,-0.015881,118.633170,118.685730,-44.482738,75.278090,-1.139025,-44.482738,1.3752,0,487539,5971
1970-01-01T00:07:35.488320+00:00,455.488319990,0,59.603616,-0.027319,118.669820,118.726011,-43.963046,74.453696,-1.108483,-43.963046,1.3741,0,487539,5971
1970-01-01T00:07:35.599040+00:00,455.599039970,0,59.625884,-0.021674,118.491410,118.559503,-47.967150,80.792110,-1.257158,-47.967150,1.3758,0,487539,5971
1970-01-01T00:07:35.691200+00:00,455.691200000,0,59.626317,-0.029159,118.493314,118.560725,-48.049530,80.923238,-1.255572,-48.049530,1.3752,0,487539,5971
1970-01-01T00:07:35.801920+00:00,455.801920010,0,59.621975,-0.024051,118.564180,118.623016,-46.884198,79.096042,-1.196516,-46.884198,1.3751,0,487539,5971
1970-01-01T00:07:35.885120+00:00,455.885119990,0,59.626250,-0.016675,118.539836,118.602524,-48.127490,81.062013,-1.216804,-48.127490,1.3749,0,487539,5971
1970-01-01T00:07:35.995840+00:00,455.995839990,0,59.639934,0.023222,118.452084,118.525889,-52.650126,88.128207,-1.289930,-52.650126,1.3755,0,487539,5971
1970-01-01T00:07:36.097600+00:00,456.097599990,0,59.603708,0.014996,118.479346,118.550545,177.689697,198.692402,-1.267212,177.689697,1.3751,0,487539,5971
1970-01-01T00:07:36.199360+00:00,456.199359950,0,59.628868,0.020040,118.549608,118.613948,176.780549,198.712892,-1.208660,176.780549,1.3749,0,487539,5971
1970-01-01T00:07:36.301120+00:00,456.301119960,0,59.630359,0.019477,118.527209,118.591968,176.719892,198.691251,-1.227326,176.719892,1.3747,0,487539,5971
1970-01-01T00:07:36.402240+00:00,456.402239950,0,59.617156,0.007507,118.563502,118.641632,178.245446,198.779616,-1.197082,178.245446,1.3751,0,487539,5971
1970-01-01T00:07:36.466880+00:00,456.466879940,0,59.624710,0.006810,118.639206,118.702661,177.194342,198.806403,-1.133995,177.194342,1.3756,0,487539,5971
1970-01-01T00:07:36.605646+00:00,456.605645770,0,59.614284,-0.008617,118.589011,118.657284,179.569268,198.822771,-1.175824,179.569268,1.3758,0,487539,5971
1970-01-01T00:07:36.697806+00:00,456.697805790,0,59.615303,-0.011058,118.663731,118.734242,179.334858,198.883093,-1.113557,179.334858,1.3748,0,487539,5971
1970-01-01T00:07:36.808526+00:00,456.808525740,0,59.618100,-0.013266,118.619199,118.674364,178.445598,198.831039,-1.150668,178.445598,1.3749,0,487539,5971
1970-01-01T00:07:36.900686+00:00,456.900685790,0,59.613939,-0.014741,118.837997,118.889801,179.525570,199.029958,-0.968336,179.525570,1.3747,0,487539,5971
1970-01-01T00:07:37.002446+00:00,457.002445800,0,59.611279,-0.007046,118.658388,118.739486,40.455273,68.771616,-1.118010,40.455273,1.3754,0,487539,5971
1970-01-01T00:07:37.095246+00:00,457.095245810,0,59.630509,0.000390,118.476159,118.540413,40.395652,68.624430,-1.269868,40.395652,1.3747,0,487539,5971
1970-01-01T00:07:37.205966+00:00,457.205965740,0,59.604625,-0.012524,118.754091,118.816922,41.380340,70.302748,-1.038257,41.380340,1.3749,0,487539,5971
1970-01-01T00:07:37.298126+00:00,457.298125800,0,59.601526,-0.016824,118.664250,118.728585,41.689203,70.778469,-1.113125,41.689203,1.3747,0,487539,5971
1970-01-01T00:07:37.399886+00:00,457.399885740,0,59.623211,-0.006406,118.640017,118.710753,39.451617,67.129821,-1.133319,39.451617,1.3757,0,487539,5971
1970-01-01T00:07:37.501006+00:00,457.501005820,0,59.623242,0.002591,118.473180,118.544645,39.533568,67.218848,-1.272350,39.533568,1.3762,0,487539,5971
1970-01-01T00:07:37.602766+00:00,457.602765740,0,59.616030,0.002133,118.650461,118.727678,40.910040,69.509353,-1.124616,40.910040,1.3753,0,487539,5971
1970-01-01T00:07:37.713486+00:00,457.713485790,0,59.617350,0.002474,118.601195,118.661997,40.624604,69.031412,-1.165671,40.624604,1.3753,0,487539,5971
1970-01-01T00:07:37.806286+00:00,457.806285740,0,59.636822,0.011304,118.672224,118.741487,35.579855,60.776655,-1.106480,35.579855,1.3747,0,487539,5971
1970-01-01T00:07:37.907406+00:00,457.907405790,0,59.621588,0.014474,118.606463,118.663226,39.869566,67.802913,-1.161280,39.869566,1.3754,0,487539,5971
1970-01-01T00:07:38.018126+00:00,458.018125740,0,59.596457,-0.002483,118.639819,118.705683,-97.246654,149.227386,-1.133484,-97.246654,1.3749,0,487539,5971
1970-01-01T00:07:38.110926+00:00,458.110925760,0,59.593182,-0.006478,118.641331,118.705759,-97.297565,149.286713,-1.132224,-97.297565,1.3753,0,487539,5971
1970-01-01T00:07:38.203086+00:00,458.203085770,0,59.604069,-0.009044,118.659991,118.728676,-97.744056,149.809148,-1.116674,-97.744056,1.3746,0,487539,5971
1970-01-01T00:07:38.313806+00:00,458.313805790,0,59.606838,-0.028516,118.672098,118.729181,-97.974774,150.079794,-1.106585,-97.974774,1.3752,0,487539,5971
1970-01-01T00:07:38.406606+00:00,458.406605790,0,59.611493,-0.023885,118.688615,118.739326,-98.406463,150.580774,-1.092821,-98.406463,1.3749,0,487539,5971
1970-01-01T00:07:38.507726+00:00,458.507725790,0,59.578378,-0.035658,118.529456,118.612130,-93.470310,144.748754,-1.225453,-93.470310,1.3761,0,487539,5971
1970-01-01T00:07:38.609486+00:00,458.609485790,0,59.598506,-0.035966,118.688960,118.752348,-96.997977,148.972317,-1.092533,-96.997977,1.3747,0,487539,5971
1970-01-01T00:07:38.720206+00:00,458.720205770,0,59.595747,-0.034150,118.648654,118.714704,-96.376868,148.230844,-1.126122,-96.376868,1.3752,0,487539,5971
